fecha,division,tipo_variacion,valor
2016-12-01,Alimentos y bebidas no alcohólicas,variacion_mensual,
2016-12-01,Bebidas alcohólicas y tabaco,variacion_mensual,
2016-12-01,Bienes y servicios varios,variacion_mensual,
2016-12-01,Comunicación,variacion_mensual,
2016-12-01,Educación,variacion_mensual,
2016-12-01,Equipamiento y mantenimiento del hogar,variacion_mensual,
2016-12-01,NIVEL GENERAL,variacion_mensual,
2016-12-01,Prendas de vestir y calzado,variacion_mensual,
2016-12-01,Recreación y cultura,variacion_mensual,
2016-12-01,Restaurantes y hoteles,variacion_mensual,
2016-12-01,Salud,variacion_mensual,
2016-12-01,Transporte,variacion_mensual,
2016-12-01,"Vivienda, agua, electricidad, gas y otros combustibles",variacion_mensual,
2017-01-01,Alimentos y bebidas no alcohólicas,variacion_mensual,
2017-01-01,Bebidas alcohólicas y tabaco,variacion_mensual,
2017-01-01,Bienes y servicios varios,variacion_mensual,
2017-01-01,Comunicación,variacion_mensual,
2017-01-01,Educación,variacion_mensual,
2017-01-01,Equipamiento y mantenimiento del hogar,variacion_mensual,
2017-01-01,NIVEL GENERAL,variacion_mensual,
2017-01-01,Recreación y cultura,variacion_mensual,
2017-01-01,Restaurantes y hoteles,variacion_mensual,
2017-01-01,Salud,variacion_mensual,
2017-01-01,Transporte,variacion_mensual,
2017-01-01,"Vivienda, agua, electricidad, gas y otros combustibles",variacion_mensual,
2017-02-01,Alimentos y bebidas no alcohólicas,variacion_mensual,
2017-02-01,Bebidas alcohólicas y tabaco,variacion_mensual,
2017-02-01,Bienes y servicios varios,variacion_mensual,
2017-02-01,Comunicación,variacion_mensual,
2017-02-01,Educación,variacion_mensual,
2017-02-01,Equipamiento y mantenimiento del hogar,variacion_mensual,
2017-02-01,NIVEL GENERAL,variacion_mensual,
2017-02-01,Prendas de vestir y calzado,variacion_mensual,
2017-02-01,Recreación y cultura,variacion_mensual,
2017-02-01,Restaurantes y hoteles,variacion_mensual,
2017-02-01,Salud,variacion_mensual,
2017-02-01,Transporte,variacion_mensual,
2017-02-01,"Vivienda, agua, electricidad, gas y otros combustibles",variacion_mensual,
2017-03-01,Alimentos y bebidas no alcohólicas,variacion_mensual,
2017-03-01,Bebidas alcohólicas y tabaco,variacion_mensual,
2017-03-01,Bienes y servicios varios,variacion_mensual,
2017-03-01,Comunicación,variacion_mensual,
2017-03-01,Educación,variacion_mensual,
2017-03-01,Equipamiento y mantenimiento del hogar,variacion_mensual,
2017-03-01,NIVEL GENERAL,variacion_mensual,
2017-03-01,Prendas de vestir y calzado,variacion_mensual,
2017-03-01,Recreación y cultura,variacion_mensual,
2017-03-01,Transporte,variacion_mensual,
2017-03-01,"Vivienda, agua, electricidad, gas y otros combustibles",variacion_mensual,
2017-04-01,Alimentos y bebidas no alcohólicas,variacion_mensual,
2017-04-01,Bebidas alcohólicas y tabaco,variacion_mensual,
2017-04-01,Bienes y servicios varios,variacion_mensual,
2017-04-01,Comunicación,variacion_mensual,
2017-04-01,Educación,variacion_mensual,
2017-04-01,Equipamiento y mantenimiento del hogar,variacion_mensual,
2017-04-01,NIVEL GENERAL,variacion_mensual,
2017-04-01,Prendas de vestir y calzado,variacion_mensual,
2017-04-01,Recreación y cultura,variacion_mensual,
2017-04-01,Restaurantes y hoteles,variacion_mensual,
2017-04-01,Salud,variacion_mensual,
2017-04-01,Transporte,variacion_mensual,
2017-04-01,"Vivienda, agua, electricidad, gas y otros combustibles",variacion_mensual,
2017-05-01,Alimentos y bebidas no alcohólicas,variacion_mensual,
2017-05-01,Bebidas alcohólicas y tabaco,variacion_mensual,
2017-05-01,Bienes y servicios varios,variacion_mensual,
2017-05-01,Comunicación,variacion_mensual,
2017-05-01,Educación,variacion_mensual,
2017-05-01,Equipamiento y mantenimiento del hogar,variacion_mensual,
2017-05-01,NIVEL GENERAL,variacion_mensual,
2017-05-01,Prendas de vestir y calzado,variacion_mensual,
2017-05-01,Recreación y cultura,variacion_mensual,
2017-05-01,Restaurantes y hoteles,variacion_mensual,
2017-05-01,Salud,variacion_mensual,
2017-05-01,Transporte,variacion_mensual,
2017-05-01,"Vivienda, agua, electricidad, gas y otros combustibles",variacion_mensual,
2017-06-01,Alimentos y bebidas no alcohólicas,variacion_mensual,
2017-06-01,Bebidas alcohólicas y tabaco,variacion_mensual,
2017-06-01,Bienes y servicios varios,variacion_mensual,
2017-06-01,Comunicación,variacion_mensual,
2017-06-01,Equipamiento y mantenimiento del hogar,variacion_mensual,
2017-06-01,NIVEL GENERAL,variacion_mensual,
2017-06-01,Prendas de vestir y calzado,variacion_mensual,
2017-06-01,Recreación y cultura,variacion_mensual,
2017-06-01,Restaurantes y hoteles,variacion_mensual,
2017-06-01,Salud,variacion_mensual,
2017-06-01,Transporte,variacion_mensual,
2017-06-01,"Vivienda, agua, electricidad, gas y otros combustibles",variacion_mensual,
2017-07-01,Alimentos y bebidas no alcohólicas,variacion_mensual,
2017-07-01,Bienes y servicios varios,variacion_mensual,
2017-07-01,Comunicación,variacion_mensual,
2017-07-01,Educación,variacion_mensual,
2017-07-01,Equipamiento y mantenimiento del hogar,variacion_mensual,
2017-07-01,NIVEL GENERAL,variacion_mensual,
2017-07-01,Prendas de vestir y calzado,variacion_mensual,
2017-07-01,Recreación y cultura,variacion_mensual,
2017-07-01,Restaurantes y hoteles,variacion_mensual,
2017-07-01,Salud,variacion_mensual,
2017-07-01,Transporte,variacion_mensual,
2017-08-01,Alimentos y bebidas no alcohólicas,variacion_mensual,
2017-08-01,Bebidas alcohólicas y tabaco,variacion_mensual,
2017-08-01,Bienes y servicios varios,variacion_mensual,
2017-08-01,Comunicación,variacion_mensual,
2017-08-01,NIVEL GENERAL,variacion_mensual,
2017-08-01,Prendas de vestir y calzado,variacion_mensual,
2017-08-01,Recreación y cultura,variacion_mensual,
2017-08-01,Restaurantes y hoteles,variacion_mensual,
2017-08-01,Salud,variacion_mensual,
2017-08-01,Transporte,variacion_mensual,
2017-08-01,"Vivienda, agua, electricidad, gas y otros combustibles",variacion_mensual,
2017-09-01,Alimentos y bebidas no alcohólicas,variacion_mensual,
2017-09-01,Bebidas alcohólicas y tabaco,variacion_mensual,
2017-09-01,Bienes y servicios varios,variacion_mensual,
2017-09-01,Comunicación,variacion_mensual,
2017-09-01,Educación,variacion_mensual,
2017-09-01,NIVEL GENERAL,variacion_mensual,
2017-09-01,Prendas de vestir y calzado,variacion_mensual,
2017-09-01,Recreación y cultura,variacion_mensual,
2017-09-01,Restaurantes y hoteles,variacion_mensual,
2017-09-01,Salud,variacion_mensual,
2017-09-01,Transporte,variacion_mensual,
2017-10-01,Alimentos y bebidas no alcohólicas,variacion_mensual,
2017-10-01,Bienes y servicios varios,variacion_mensual,
2017-10-01,Comunicación,variacion_mensual,
2017-10-01,Educación,variacion_mensual,
2017-10-01,Equipamiento y mantenimiento del hogar,variacion_mensual,
2017-10-01,NIVEL GENERAL,variacion_mensual,
2017-10-01,Prendas de vestir y calzado,variacion_mensual,
2017-10-01,Recreación y cultura,variacion_mensual,
2017-10-01,Restaurantes y hoteles,variacion_mensual,
2017-10-01,Salud,variacion_mensual,
2017-10-01,Transporte,variacion_mensual,
2017-10-01,"Vivienda, agua, electricidad, gas y otros combustibles",variacion_mensual,
2017-11-01,Alimentos y bebidas no alcohólicas,variacion_mensual,
2017-11-01,Bebidas alcohólicas y tabaco,variacion_mensual,
2017-11-01,Bienes y servicios varios,variacion_mensual,
2017-11-01,Comunicación,variacion_mensual,
2017-11-01,Educación,variacion_mensual,
2017-11-01,Equipamiento y mantenimiento del hogar,variacion_mensual,
2017-11-01,NIVEL GENERAL,variacion_mensual,
2017-11-01,Prendas de vestir y calzado,variacion_mensual,
2017-11-01,Recreación y cultura,variacion_mensual,
2017-11-01,Restaurantes y hoteles,variacion_mensual,
2017-11-01,Salud,variacion_mensual,
2017-11-01,"Vivienda, agua, electricidad, gas y otros combustibles",variacion_mensual,
2017-12-01,Alimentos y bebidas no alcohólicas,variacion_mensual,
2017-12-01,Bebidas alcohólicas y tabaco,variacion_mensual,
2017-12-01,Bienes y servicios varios,variacion_mensual,
2017-12-01,Comunicación,variacion_mensual,
2017-12-01,Equipamiento y mantenimiento del hogar,variacion_mensual,
2017-12-01,NIVEL GENERAL,variacion_mensual,
2017-12-01,Prendas de vestir y calzado,variacion_mensual,
2017-12-01,Recreación y cultura,variacion_mensual,
2017-12-01,Restaurantes y hoteles,variacion_mensual,
2017-12-01,Salud,variacion_mensual,
2017-12-01,Transporte,variacion_mensual,
2017-12-01,"Vivienda, agua, electricidad, gas y otros combustibles",variacion_mensual,
2018-01-01,Alimentos y bebidas no alcohólicas,variacion_mensual,
2018-01-01,Bebidas alcohólicas y tabaco,variacion_mensual,
2018-01-01,Bienes y servicios varios,variacion_mensual,
2018-01-01,Comunicación,variacion_mensual,
2018-01-01,Educación,variacion_mensual,
2018-01-01,NIVEL GENERAL,variacion_mensual,
2018-01-01,Prendas de vestir y calzado,variacion_mensual,
2018-01-01,Recreación y cultura,variacion_mensual,
2018-01-01,Restaurantes y hoteles,variacion_mensual,
2018-01-01,Salud,variacion_mensual,
2018-01-01,Transporte,variacion_mensual,
2018-02-01,Alimentos y bebidas no alcohólicas,variacion_mensual,
