fecha,division,variacion_mensual,variacion_interanual,region
2016-12-01,NIVEL GENERAL,,,GBA
2016-12-01,NIVEL GENERAL,,,Pampeana
2016-12-01,NIVEL GENERAL,,,Noreste
2016-12-01,NIVEL GENERAL,,,Noroeste
2016-12-01,NIVEL GENERAL,,,Cuyo
2016-12-01,NIVEL GENERAL,,,Patagonia
2016-12-01,NIVEL GENERAL,,,Nacional
2016-12-01,Alimentos y bebidas no alcohólicas,,,GBA
2016-12-01,Alimentos y bebidas no alcohólicas,,,Pampeana
2016-12-01,Alimentos y bebidas no alcohólicas,,,Noreste
2016-12-01,Alimentos y bebidas no alcohólicas,,,Noroeste
2016-12-01,Alimentos y bebidas no alcohólicas,,,Cuyo
2016-12-01,Alimentos y bebidas no alcohólicas,,,Patagonia
2016-12-01,Alimentos y bebidas no alcohólicas,,,Nacional
2016-12-01,Bebidas alcohólicas y tabaco,,,GBA
2016-12-01,Bebidas alcohólicas y tabaco,,,Pampeana
2016-12-01,Bebidas alcohólicas y tabaco,,,Noreste
2016-12-01,Bebidas alcohólicas y tabaco,,,Noroeste
2016-12-01,Bebidas alcohólicas y tabaco,,,Cuyo
2016-12-01,Bebidas alcohólicas y tabaco,,,Patagonia
2016-12-01,Bebidas alcohólicas y tabaco,,,Nacional
2016-12-01,Prendas de vestir y calzado,,,GBA
2016-12-01,Prendas de vestir y calzado,,,Pampeana
2016-12-01,Prendas de vestir y calzado,,,Noreste
2016-12-01,Prendas de vestir y calzado,,,Noroeste
2016-12-01,Prendas de vestir y calzado,,,Cuyo
2016-12-01,Prendas de vestir y calzado,,,Patagonia
2016-12-01,Prendas de vestir y calzado,,,Nacional
2016-12-01,"Vivienda, agua, electricidad, gas y otros combustibles",,,GBA
2016-12-01,"Vivienda, agua, electricidad, gas y otros combustibles",,,Pampeana
2016-12-01,"Vivienda, agua, electricidad, gas y otros combustibles",,,Noreste
2016-12-01,"Vivienda, agua, electricidad, gas y otros combustibles",,,Noroeste
2016-12-01,"Vivienda, agua, electricidad, gas y otros combustibles",,,Cuyo
2016-12-01,"Vivienda, agua, electricidad, gas y otros combustibles",,,Patagonia
2016-12-01,"Vivienda, agua, electricidad, gas y otros combustibles",,,Nacional
2016-12-01,Equipamiento y mantenimiento del hogar,,,GBA
2016-12-01,Equipamiento y mantenimiento del hogar,,,Pampeana
2016-12-01,Equipamiento y mantenimiento del hogar,,,Noreste
2016-12-01,Equipamiento y mantenimiento del hogar,,,Noroeste
2016-12-01,Equipamiento y mantenimiento del hogar,,,Cuyo
